作戦説明=อธิบายกลยุทธ์  ##100101_01## ##hiyori_ヒヨリ##
ライバル出現？=คู่แข่งปรากฏตัว?  ##121501_01## ##ayumi(phantom thief)_アユミ（怪盗）##
不安の種=ต้นเหตุแห่งความกังวล  ##121601_01## ##inori(phantom thief)_イノリ（怪盗）##


満を持して=เมื่อถึงเวลาอันสมควร  ##121901_01## ##anna(pirates)_アンナ（パイレーツ）##
船の甲板=ดาดฟ้าเรือ  ##122001_01## ##shinobu(pirate)_シノブ（パイレーツ）##
キャンプマイスター=แคมป์ไมสเตอร์  ##122101_01## ##aoi(camp)_アオイ（キャンプ）##

さいきょーですし♪=แข็งแกร่งที่สุด~ ♪  ##122301_01## ##vampy_ヴァンピィ##




  

ぷにぷにプニプニ=นุ่มนิ่ม ๆ ดิ๋งดั๋ง ๆ  ##123001_01## ##ameth_アメス##

ピクニック気分で=รู้สึกเหมือนไปปิคนิค  ##123201_01## ##ayane(explorer)_アヤネ（エクスプローラー）##





容赦なく=อย่างไร้ความปรานี  ##123801_01## ##christina(wild)_クリスティーナ（ワイルド）##














主さまと一緒=I'm with my master  ##125301_01## ##kokkoro(ranger)_コッコロ（レンジャー）##
夢見る=ผู้ทำตามความฝัน  ##125401_01## ##shiori(ranger)_シオリ（レンジャー）##
魔法でひと工夫=Magic with a little twist  ##125501_01## ##djeeta(warlock)_ジータ（ウォーロック）##

不思議なカバン=กระเป๋ามหัศจรรย์  ##125701_01## ##karin(alchemist)_カリン（アルケミスト）##




月下に詠う=ขับขานใต้แสงจันทร์  ##126201_01## ##illya(formal costume)_イリヤ（儀装束）##

エンプティ=Empty  ##126401_01## ##croce_クローチェ##







っぽいじゃない=Sounds like it  ##127201_01## ##kyaru(transfer student)_キャル（編入生）##
一緒にアオハルを=Let's spend the blue spring together.  ##127301_01## ##suzuna(transfer student)_スズナ（編入生）##

たくさんのお土産=Lots of souvenirs  ##127501_01## ##saren (salasaria)_サレン（サラサリア）##


セルフサービス=บริการตัวเอง  ##127801_01## ##wurm_ヴルム##











負けられない=จะยอมแพ้ไม่ได้เด็ดขาด  ##129001_01## ##eris_エリス##





隙なし=ไร้จุดอ่อน  ##129601_01## ##anemone_アネモネ##


ご褒美に=เพื่อเป็นรางวัล  ##129901_01## ##eriko(commander)_エリコ（コマンダー）##







お花のようせいさん=Like a Flower Fairy  ##130701_01## ##kyouka(spring)_キョウカ（スプリング）##
じゃない私=No, I...  ##130801_01## ##suzume(spring)_スズメ（スプリング）##
記念品贈呈=มอบของที่ระลึก  ##130901_01## ##kururu_クルル##














新刊入荷=หนังสือเล่มใหม่เข้าแล้ว  ##132401_01## ##iroha_イロハ##
代償=ค่าตอบแทน  ##132501_01## ##sono_ソノ##




お使いの端末は正常です=อุปกรณ์ของคุณทำงานปกติ  ##133001_01## ##grace_グレイス##
パフューマー=นักปรุงน้ำหอม  ##133101_01## ##violet_ヴァイオレット##













精密さＵＰ！=เพิ่มความแม่นยำ  ##134501_01## ##croce(aerial)_クローチェ（エアリアル）##
後でちゃんとマニュアル読んだ=เดี๋ยวค่อยอ่านคู่มือให้ดี ๆ ทีหลังละกัน  ##134601_01## ##aoi(pilot)_アオイ（パイロット）##


Ohoho=Ohoho  ##134901_01## ##kanon_カノン##





何度でも=จะกี่ครั้งก็ได้  ##135501_01## ##aira_アイラ##
話したいのに=ทั้ง ๆ ที่อยากจะคุยด้วยแท้ ๆ  ##135601_01## ##shinatsu_シナツ##
ダークなあたし=ตัวฉันในเวอร์ชั่นดาร์ก  ##135701_01## ##hiyori_ヒヨリ##

鬼に衣=หน้าเนื้อใจเสือ  ##135901_01## ##satsuki_サツキ##
アラクネvsミサキ=อารัคเน่ vs. มิซากิ  ##136001_01## ##arachne_アラクネ##



##180101_01## ##hiyori_ヒヨリ##
じゃんけんタイム！=ได้เวลาเป่ายิ้งฉุบ!























































































































































































































































































































































































































































ふわふわ=นุ่มฟู  ##180501_01## ##kokkoro(princess)_コッコロ（プリンセス）##
かけ声=เสียงร้องตะโกน  ##180601_01## ##kyaru(princess)_キャル（プリンセス）##


二人一緒なら=ถ้าเราสองคนอยู่ด้วยกัน  ##180901_01## ##akino＆saren_アキノ＆サレン##
変わらないもの=สิ่งที่ไม่เคยเปลี่ยน  ##181001_01## ##anne&glare_アン＆グレア##

テイスティング=การชิมรสชาติ  ##181201_01## ##sheffy(princess)_シェフィ（プリンセス）##


ぺこぺこ=จ๊อกๆ

Rei
守る力=พลังที่ใช้ปกป้อง



Misogi
３人いつも=3 คนด้วยกันเสมอ


Matsuri
●ヒミツ図鑑● ①マツリちゃん=*Secret encyclopedia* 1 Matsuri-chan














●ヒミツ図鑑● ①マツリちゃん=*Secret encyclopedia* 1 Matsuri-chan


キャラ選択=Character Select



マホマホ王国ショー=Mahomaho Kingdom Show
美を統べる者=Ruler of beauty
カレーにしてゆうげ=Curry and Yuuge
至福のカフェ=Blissful Café

